gene_id	mean_expr	sd_expr	cv
YJR113C	0.0077	0.5155	66.6915
YAR066W	-0.0167	1.115	66.6619
YOR336W	0.0075	0.4951	65.626
YER005W	0.0057	0.3705	65.1944
YJR089W	-0.0057	0.364	64.3971
YGR275W	-0.0075	0.4856	64.3963
YLR309C	0.009	0.5769	64.2893
YHR092C	-0.0115	0.7312	63.6509
YLR024C	-0.0074	0.4703	63.5633
YBR013C	-0.007	0.4405	63.1991
YJL108C	-0.0125	0.7848	62.7089
YMR068W	0.011	0.6907	62.6861
YCL069W	-0.0103	0.6386	62.1454
YNL138W	0.0105	0.6514	61.9714
YMR204C	0.0073	0.4449	61.1348
YLR358C	-0.008	0.4836	60.7554
YBR045C	0.0135	0.8151	60.5365
YPR133C	-0.0072	0.4217	58.9071
YPR084W	0.0073	0.4297	58.8021
YDR237W	-0.0095	0.5539	58.2136
YPR188C	0.0082	0.4764	57.8433
YLR364W	0.0094	0.54	57.3735
YMR290W-A	0.0144	0.8262	57.3564
YOL073C	-0.0117	0.6711	57.2731
YGR031W	-0.0077	0.437	57.0763
YFL031W	0.0117	0.6619	56.4605
YLR027C	0.009	0.506	56.4434
YIL118W	-0.0114	0.6415	56.4243
YML086C	-0.0095	0.5226	55.2784
YMR019W	0.0108	0.5943	55.2531
YNL047C	-0.0068	0.3762	55.2128
YBR163W	0.0091	0.5041	55.195
YLR116W	0.0074	0.4038	54.2928
YKL075C	-0.0062	0.3346	53.9383
YAR009C	0.0102	0.5512	53.8736
YHL030W	0.0136	0.7327	53.7083
YMR279C	0.0136	0.7317	53.6532
YKL220C	0.0095	0.5071	53.5951
YLR464W	-0.0101	0.5378	53.4705
YMR203W	-0.0117	0.6032	51.7325
YPL136W	-0.0164	0.8444	51.6409
YJR021C	-0.0101	0.5181	51.5013
YKL186C	-0.008	0.4068	51.1139
YOR107W	0.0204	1.0401	50.8749
YGL251C	-0.0098	0.4951	50.7588
YMR086C-A	-0.0096	0.4883	50.7395
YIL066C	-0.0311	1.5754	50.6848
YIL084C	0.0062	0.3117	50.3376
YDL206W	0.0268	1.3441	50.1917
YDL246C	0.0115	0.5758	50.0696
YBL025W	-0.0087	0.432	49.4985
